N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
71,두산중공업,"15,250",50,-0.33%,"5,000","38,604","253,141",10.13,"2,229,692",-3.32,-14.73,
72,맥쿼리인프라,"10,900",50,-0.46%,0,"38,046","349,044",14.74,"282,573",N/A,N/A,
73,LG이노텍,"160,500","2,500",-1.53%,"5,000","37,986","23,667",35.44,"93,059",29.10,4.73,
74,롯데지주,"36,200","1,250",+3.58%,200,"37,977","104,909",11.48,"401,825",-5.46,-5.21,
75,CJ대한통운,"165,500","3,500",-2.07%,"5,000","37,754","22,812",22.01,"36,715",41.77,1.41,
76,한미약품,"318,000","8,500",-2.60%,"2,500","37,661","11,843",14.34,"48,786",104.47,7.30,
77,한미사이언스,"55,500","1,500",-2.63%,500,"36,636","66,011",1.83,"116,820",129.37,4.73,
78,삼성증권,"40,000",200,+0.50%,"5,000","35,720","89,300",25.76,"400,704",10.97,8.15,
79,GS,"38,400",900,+2.40%,"5,000","35,680","92,915",20.09,"332,676",-41.65,6.26,
80,DB손해보험,"46,350",100,-0.22%,500,"32,816","70,800",40.82,"93,128",6.06,6.92,
81,호텔신라,"83,300","2,100",+2.59%,"5,000","32,694","39,248",21.26,"710,338",-25.28,20.16,
82,두산밥캣,"31,800","1,550",-4.65%,500,"31,879","100,249",20.51,"366,955",17.21,7.05,
83,NH투자증권,"11,300",100,+0.89%,"5,000","31,799","281,409",14.67,"765,847",7.40,9.12,
84,현대차2우B,"87,000",300,+0.35%,"5,000","31,742","36,485",60.34,"59,796",20.79,N/A,
85,SKC,"83,900",100,+0.12%,"5,000","31,491","37,535",8.00,"98,021",37.24,3.86,
86,에스원,"82,500",500,-0.60%,500,"31,349","37,999",55.24,"44,254",21.71,11.32,
87,더존비즈온,"102,000","1,000",-0.97%,500,"30,696","30,094",45.03,"27,709",63.67,18.78,
88,롯데쇼핑,"107,000","5,500",+5.42%,"5,000","30,269","28,289",11.82,"256,787",-2.26,-8.14,
89,대림산업,"84,300",900,+1.08%,"5,000","29,336","34,800",38.54,"204,340",4.46,11.74,
90,대우조선해양,"27,200",150,+0.55%,"5,000","29,183","107,291",9.14,"475,472",16.74,-1.22,
91,LG화학우,"375,500","8,500",+2.32%,"5,000","28,871","7,689",59.85,"34,499",35.08,N/A,
92,동서,"28,900",300,-1.03%,500,"28,813","99,700",5.04,"76,197",20.94,10.53,
93,쌍용양회,"5,550",0,0.00%,"1,000","27,964","503,860",2.85,0,20.94,7.02,
94,한국가스공사,"29,700",500,+1.71%,"5,000","27,417","92,313",9.00,"286,541",-5.46,0.48,
95,키움증권,"122,500","1,000",+0.82%,"5,000","27,120","22,139",24.88,"78,359",8.21,16.97,
96,휠라홀딩스,"43,300",800,-1.81%,"1,000","26,306","60,752",45.51,"262,191",14.60,23.81,
97,GS리테일,"34,150",50,-0.15%,"1,000","26,296","77,000",14.53,"165,741",15.57,6.25,
98,삼성엔지니어링,"13,400",50,-0.37%,"5,000","26,264","196,000",26.28,"1,742,916",10.28,24.62,
99,메리츠증권,"3,790",30,-0.79%,"1,000","25,619","675,962",12.93,"1,596,424",5.16,15.06,
100,GS건설,"31,800",100,-0.31%,"5,000","25,471","80,098",28.48,"203,671",6.67,11.79,
101,두산퓨얼셀,"44,600","3,050",+7.34%,100,"24,750","55,494",11.19,"1,827,303",130.79,N/A,
102,제일기획,"21,500",50,-0.23%,200,"24,734","115,041",31.89,"216,214",18.22,15.09,
103,한국항공우주,"25,100",100,+0.40%,"5,000","24,466","97,475",14.83,"424,864",15.66,15.84,
104,TIGER 200,"35,090",315,+0.91%,0,"24,282","69,200",3.59,"819,171",N/A,N/A,
105,CJ,"82,100","1,700",+2.11%,"5,000","23,954","29,177",19.03,"94,426",13.64,6.24,
106,신세계,"238,500","5,000",+2.14%,"5,000","23,481","9,845",26.16,"76,865",-8.79,14.24,
107,하이트진로,"32,900",600,-1.79%,"5,000","23,074","70,134",10.19,"394,573",31.10,-3.86,
